,keyword,title,privious_time,view,video_url,comment,like_count,dislike_count,tag
0,십오야,"
[sub] 📺 ep.08 | 은진아 💃💃넌 좋은 민하가 될거야 💃💃 | 슬기로운 하드털이
",15:48,293605,GpcxujasWbE,760,9265,50,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist']"
1,십오야,"
[sub] 📺 ep.08 | 은진아 💃💃넌 좋은 민하가 될거야 💃💃 | 슬기로운 하드털이
",15:48,293605,GpcxujasWbE,760,9265,50,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist']"
2,십오야,"
[sub]🥔EP.4-2 내가 바로 K-레크리에이션 강사다. 수그라스의 런치쇼! | 나홀로 이식당 풀버전
",19:14,1423014,Q6nB-1kvMmg,1388,19338,288,"['나영석', '나PD', '신서유기', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '은지원', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist', '이식당', '나홀로이식당']"
3,십오야,"
[sub]🥔EP.4-1 두근수근 신메뉴 등장! 인간은,,, 같은 실수를 반복한다,,?!  | 나홀로 이식당 풀버전
",13:07,1597349,tdZmTAAJLxI,640,18116,332,"['나영석', '나PD', '신서유기', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '은지원', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist', '이식당', '나홀로이식당']"
4,십오야,"
[sub] 🥔EP.1-1 백종원쌤도 말리는 나홀로 식당을 어떻게든 해보려고 합니다. | 나홀로 이식당 풀버전
",14:50,3592965,nlEasCJJYdg,2017,41488,966,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist']"
5,십오야,"
[sub]🥔EP.3-1 아직 세상은 살만합니다. 손님도 알바도 사장도 본사직원도 모두 다함께! | 다함께 이식당 풀버전
",13:15,2136692,snogfUPcn4I,911,21468,414,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist']"
6,십오야,"
[sub] 🥔EP.2-1 수많은 외로움과 그 속 작은 기쁨에 관한 이야기.. | 나홀로 이식당 풀버전
",16:01,2767903,oc6okwrqtIw,1511,29550,497,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist']"
7,십오야,"
🚀십오야페스타 LIVE 편집본 | 서터리밍부터 애칭짓기까지 여러분과 함께 할 수 있어 행복한 시버야 드림
",30:34,886726,tYGm2r06yHk,1815,15216,181,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist']"
8,십오야,"
[sub]🥔EP.0 현실에서는 설거지 총괄이었던 내가 이세계에서는 식당주인?!  | 나홀로 이식당
",5:17,2776871,2Yhbw-Jrv3w,2379,44777,480,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist']"
9,십오야,"
[sub] 🥔EP.2-2 드디어 밝혀지는 마지막 영업비밀,,,새로운 알바의 등장!!  | 나홀로 이식당 풀버전
",12:23,2373206,oU5IV35puhY,1886,28770,407,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist']"
10,십오야,"
[sub]🧑‍⚕️LIVE 풀버전 | 99즈의 '미도와 파라솔' 밴드라이브 풀버전! | 슬기로운 의사생활
",1:28:35,2800747,ujQHh5xFtA4,4668,91507,759,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬기로운의사생활', '슬의', '미도와파라솔', '조정석', '정경호', '유연석', '이대명', '전미도', '의사생활']"
11,십오야,"
ENG | [단독] 김국진, 10년 만의 골프 실력 전격공개!! 뻐꾸기들.. 떨고 있니?ㅋㅋㅋ [김구라의 뻐꾸기 골프 TV] 10-1화
",41:20,1914477,X_c2lvartHM,1758,14438,1529,"['김구라', '골프', '골프 스윙', '골프스윙', '골프왕', '골프 기초', '골프 레슨', '골프존', '골프장', '연예인 골프', '골프 그립', '골프 자세', '골프 캐디', '골프 용품', '골프 웨어', '골프채', '골프TV', '스크린골프', '김구라 골프', '골프초보', '골프기초', '골프아이언', '골프드라이버', '골프우드', '장타', '비거리']"
12,십오야,"
ENG | [단독] 김국진, 10년 만의 골프 실력 전격공개!! 뻐꾸기들.. 떨고 있니?ㅋㅋㅋ [김구라의 뻐꾸기 골프 TV] 10-1화
",41:20,1914477,X_c2lvartHM,1758,14438,1529,"['김구라', '골프', '골프 스윙', '골프스윙', '골프왕', '골프 기초', '골프 레슨', '골프존', '골프장', '연예인 골프', '골프 그립', '골프 자세', '골프 캐디', '골프 용품', '골프 웨어', '골프채', '골프TV', '스크린골프', '김구라 골프', '골프초보', '골프기초', '골프아이언', '골프드라이버', '골프우드', '장타', '비거리']"
13,십오야,"
[1박2일 시즌1 레전드 #5] 전스탭 야외취침이라는 사상 초유의 사건! 다시는 볼 수 없을 그 처절하고 웃픈 현장으로 고고고~
",27:37,10963242,ywU-E2n2loE,7036,55802,3733,"['깔깔', '깔깔티비', '티비', 'TV', 'KBS', '예능', 'KBS예능', '레전드', '레트로', '뉴트로', '한국방송', '1박2일', '강호동', '이수근', '이승기', '김종민', '나영석', '은지원', '복불복', '여행', '야생', '야외취침', '스탭', '버라이어티', '나pd', '이pd', '이명한', 'mc몽', '전스텝 야외취침', '1박2일 시즌1', '1박2일 레전드', '시즌1', '1박2일 시즌1 전스텝 야외취침', '1박2일 전스텝 야외취침', '1박2일 이우정 작가', 'pd', '로드', '정선', '강원도', '휴게소', '깔깔티비 1박2일', '1박2일 정주행', '김C', 'MC몽', '1박 2일 시즌1', '1박 2일', '1박2일레전드', '레전드순삭', '순삭', 'kbs entertainment', 'kbs enter', '김c', '나홀로 이식당', '이수근 식당', '혹서기 캠프']"
14,십오야,"
[ENG｜단독 풀버전] 비긴어게인 코리아 '길' ｜ 눈물바다가 된 비긴코 버스킹 현장😢
",14:28,5920641,YS10Cdaz2Kk,6386,131211,1440,"['소향', '헨리', '이수현', '하림', '적재', '정승환', '크러쉬', 'beginagainkorea', 'Sohyang', 'Henry', 'Lee Suhyun', 'Hareem', 'Jukjae', 'Jung Seung hwan', 'Crush', 'jeonju', '길', 'god', '지오디', 'god 길', '비긴어게인 눈물', '크러쉬눈물', '눈물바다', '감동', '버스킹', '전주버스킹', '비긴어게인 코리아 전주', '비긴어게인 다시보기', '비긴코', '풀버전', '헨리눈물', '비긴어게인 크러쉬 눈물']"
15,십오야,"
[sub]🛫EP.11-1 특별대담. 전문가와 함께하는 달나라 긴급진단, 그것이 알고싶달나라!!! | 아간세
",14:44,1463236,o7TjcXuP3yk,1201,18702,323,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN']"
16,십오야,"
[sub] 🥔EP.1-2 가정식 백반 말고 가전식(?) 백반 하면 안될까요?? | 나홀로 이식당 풀버전
",16:51,3856756,PcM6C9l9axw,3163,46181,1111,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist']"
17,십오야,"
[sub]🤵EP.4-2 십오야를 고품격 패션채널로 업그레이드 시켜줄 슈스스와 함께하는…나PD 메이크오버?! | 마포멋쟁이 풀버전
",19:24,2248574,xnWrj4m7WWA,4267,44256,458,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '비이커', '엽기떡볶이', '엽떡', '한혜연', '슈스스', '프레타포르테', '입생로랑', '준지']"
18,십오야,"
들고양이들 = 십오야
",2:27,186494,yPuvrLSXiUQ,22,423,47,"['십오야', '들고양이들', 'wild cats', 'k-pop', '임종임']"
19,십오야,"
[sub]🌔최종회 | 전설의 레전드! 앞마당 라이브(네세끼 중심ver) 대공개 (쿠키영상있음) | 삼시네세끼 풀버전
",31:36,559147,aoi8mnUoXCQ,2971,16678,115,"['나영석', '나PD', '신서유기', '신서유기외전', '아간세', '아이슬란드', '아이슬란드간세끼', '이수근', '수근세끼', '은지원', '지원세끼', '삼시세끼', '세끼', '신효정', '나피디', '묘한이', 'tvN', '라끼남', '라면', '라면끼리는남자', '강호동', '양정우', '육봉선생', '6봉선생', '안성탕면', '농심', '너구리', '신라면', '짜파게티', '짜파구리', '진라면', '불닭볶음면', '팔도', '라면먹방', '먹방', '마포멋쟁이', '마포', '멋쟁이', '송민호', '표지훈', '민호', '지훈', '피오', 'MINO', 'PO', 'P.O', '위너', 'WINNER', '이너써클', 'INNERCIRCLE', '인서', '꿀벌', 'bbc', '비비씨', '송표', '표송', '패션', '패션유튜버', '패션유튜브', '삼시네세끼', '자급자족', '합숙', '달나라공약이행프로젝트', '달나라프로젝트', '공약', '달나라', '달', '젝스키스', '젝키', '젝서키', '젝스키', '지원', '이재진', '재진', '김재덕', '재덕', '장수원', '수원', 'SechsKies', 'Sechs Kies', '슬의', '슬기로운하드털이', '슬의생', '슬기로운의사생활', '신원호', '워노', '이우정', '조정석', '정경호', '유연석', '김대명', '전미도', '이익준', '김준완', '안정원', '양석형', '채송화', '용석민', '문태유', '도재학', '이익순', '곽선영', '겨울정원', '신현빈', '장겨울', '수빈쌤', 'hospitalplaylist']"
20,십오야,"
[sub]🛫EP.2-1 아시아나에서 코스요리를 먹어보았습니다. 기내식 세끼! | 아간세 풀버전
",12:59,5274439,Y4holHtEmb4,2060,46537,1131,"['아이슬란드간세끼', '아이슬란드', '아간세', '신서유기', '삼시세끼', '이수근', '은지원', '아시아나', '코스요리', '기내식', '강식당', '나영석']"
